helyseg;iranyitoszam
Boldog;3016
Boldogasszonyfa;7937
Boldogkőváralja;3885
Boldogkőújfalu;3884
Boldva;3794
Bolhás;7517
Bolhó;7586
Boncodfölde;8992
Bonnya;7281
Bonyhád;7150
Bonyhád;7187
Bonyhádvarasd;7158
Bordány;6795
Borgáta;9554
Borjád;7756
Borota;6445
Borsfa;8885
Borsodbóta;3658
Borsodgeszt;3426
Borsodivánka;3462
Borsodnádasd;3671
Borsodnádasd;3672
Borsodszentgyörgy;3623
Borsodszirák;3796
Borsosberény;2644
Borszörcsök;8479
Borzavár;8428
Bosta;7811
Botpalád;4955
Botykapeterd;7900
Bozsok;9727
Bozzai;9752
Bucsa;5527
Bucsu;9792
Bucsuta;8893
Budajenő;2093
Budakalász;2011
Budakeszi;2092
Budapest 01. ker.;1011
Budapest 01. ker.;1012
Budapest 01. ker.;1013
Budapest 01. ker.;1014
Budapest 01. ker.;1015
Budapest 01. ker.;1016
Budapest 02. ker.;1021
Budapest 02. ker.;1022
Budapest 02. ker.;1023
Budapest 02. ker.;1024
Budapest 02. ker.;1025
Budapest 02. ker.;1026
Budapest 02. ker.;1027
Budapest 02. ker.;1028
Budapest 02. ker.;1029
Budapest 03. ker.;1031
Budapest 03. ker.;1032
Budapest 03. ker.;1033
Budapest 03. ker.;1034
Budapest 03. ker.;1035
Budapest 03. ker.;1036
Budapest 03. ker.;1037
Budapest 03. ker.;1038
Budapest 03. ker.;1039
Budapest 04. ker.;1041
Budapest 04. ker.;1042
Budapest 04. ker.;1043
Budapest 04. ker.;1044
Budapest 04. ker.;1045
Budapest 04. ker.;1046
Budapest 04. ker.;1047
Budapest 04. ker.;1048
Budapest 05. ker.;1051
Budapest 05. ker.;1052
Budapest 05. ker.;1053
Budapest 05. ker.;1054
Budapest 05. ker.;1055
Budapest 05. ker.;1056
Budapest 06. ker.;1061
Budapest 06. ker.;1062
Budapest 06. ker.;1063
Budapest 06. ker.;1064
Budapest 06. ker.;1065
Budapest 06. ker.;1066
Budapest 06. ker.;1067
Budapest 06. ker.;1068
Budapest 07. ker.;1071
Budapest 07. ker.;1072
Budapest 07. ker.;1073
Budapest 07. ker.;1074
Budapest 07. ker.;1075
Budapest 07. ker.;1076
Budapest 07. ker.;1077
Budapest 07. ker.;1078
Budapest 08. ker.;1081
Budapest 08. ker.;1082
Budapest 08. ker.;1083
Budapest 08. ker.;1084
Budapest 08. ker.;1085
Budapest 08. ker.;1086
Budapest 08. ker.;1087
Budapest 08. ker.;1088
Budapest 08. ker.;1089
Budapest 09. ker.;1091
Budapest 09. ker.;1092
Budapest 09. ker.;1093
Budapest 09. ker.;1094
Budapest 09. ker.;1095
Budapest 09. ker.;1096
Budapest 09. ker.;1097
Budapest 09. ker.;1098
Budapest 10. ker.;1101
Budapest 10. ker.;1102
Budapest 10. ker.;1103
Budapest 10. ker.;1104
Budapest 10. ker.;1105
Budapest 10. ker.;1106
Budapest 10. ker.;1107
Budapest 10. ker.;1108
Budapest 11. ker.;1111
Budapest 11. ker.;1112
Budapest 11. ker.;1113
Budapest 11. ker.;1114
Budapest 11. ker.;1115
Budapest 11. ker.;1116
Budapest 11. ker.;1117
Budapest 11. ker.;1118
Budapest 11. ker.;1119
Budapest 12. ker.;1121
Budapest 12. ker.;1122
Budapest 12. ker.;1123
Budapest 12. ker.;1124
Budapest 12. ker.;1125
Budapest 12. ker.;1126
Budapest 13. ker.;1007
Budapest 13. ker.;1131
Budapest 13. ker.;1132
Budapest 13. ker.;1133
Budapest 13. ker.;1134
Budapest 13. ker.;1135
Budapest 13. ker.;1136
Budapest 13. ker.;1137
Budapest 13. ker.;1138
Budapest 13. ker.;1139
Budapest 14. ker.;1141
Budapest 14. ker.;1142
Budapest 14. ker.;1143
Budapest 14. ker.;1144
Budapest 14. ker.;1145
Budapest 14. ker.;1146
Budapest 14. ker.;1147
Budapest 14. ker.;1148
Budapest 14. ker.;1149
Budapest 15. ker.;1151
Budapest 15. ker.;1152
Budapest 15. ker.;1153
Budapest 15. ker.;1154
Budapest 15. ker.;1155
Budapest 15. ker.;1156
Budapest 15. ker.;1157
Budapest 15. ker.;1158
Budapest 16. ker.;1161
Budapest 16. ker.;1162
Budapest 16. ker.;1163
Budapest 16. ker.;1164
Budapest 16. ker.;1165
Budapest 17. ker.;1171
Budapest 17. ker.;1172
Budapest 17. ker.;1173
Budapest 17. ker.;1174
Budapest 18. ker.;1181
Budapest 18. ker.;1182
Budapest 18. ker.;1183
Budapest 18. ker.;1184
Budapest 18. ker.;1185
Budapest 18. ker.;1186
Budapest 18. ker.;1188
Budapest 19. ker.;1191
Budapest 19. ker.;1192
Budapest 19. ker.;1193
Budapest 19. ker.;1194
Budapest 19. ker.;1195
Budapest 19. ker.;1196
Budapest 20. ker.;1201
Budapest 20. ker.;1202
Budapest 20. ker.;1203
Budapest 20. ker.;1204
Budapest 20. ker.;1205
Budapest 21. ker.;1211
Budapest 21. ker.;1212
Budapest 21. ker.;1213
Budapest 21. ker.;1214
Budapest 21. ker.;1215
Budapest 22. ker.;1221
Budapest 22. ker.;1222
Budapest 22. ker.;1223
Budapest 22. ker.;1224
Budapest 22. ker.;1225
Budapest 23. ker.;1237
Budapest 23. ker.;1238
Budapest 23. ker.;1239
Budaörs;2040
Bugac;6114
Bugacpusztaháza;6114
Bugyi;2347
Buj;4483
Buják;3047
Buzsák;8695
Bábolna;2943
Bábonymegyer;8658
Bácsalmás;6430
Bácsbokod;6453
Bácsborsód;6454
Bácsszentgyörgy;6511
Bácsszőlős;6425
Bágyogszovát;9145
Bálványos;8614
Bánd;8443
Bánfa;7914
Bánhorváti;3642
Bánk;2653
Bánokszentgyörgy;8891
Bánréve;3654
Bár;7711
Bárdudvarnok;7478
Bárna;3126
Bársonyos;2883
Báránd;4161
Báta;7149
Bátaapáti;7164
Bátaszék;7140
Bátmonostor;6528
Bátonyterenye;3070
Bátonyterenye;3078
Bátor;3336
Bátorliget;4343
Bátya;6351
Bázakerettye;8887
Béb;8565
Békás;8515
Békés;5630
Békéscsaba;5600
Békéscsaba;5623
Békéscsaba;5671
Békésszentandrás;5561
Békéssámson;5946
Bélapátfalva;3346
Bélavár;7589
Bélmegyer;5643
Bénye;2216
Bér;3045
Bérbaltavár;9831
Bócsa;6235
Bódvalenke;3768
Bódvarákó;3764
Bódvaszilas;3763
Bókaháza;8741
Bóly;7754
Bózsva;3994
Böde;8991
Bödeháza;8969
Bögöt;9612
Bögöte;9675
Böhönye;8719
Bököny;4231
Bölcske;7025
Börcs;9152
Börzönce;8772
Búcsúszentlászló;8925
Bük;9737
Bük;9740
Bükkaranyos;3554
Bükkmogyorósd;3648
Bükkszenterzsébet;3257
Bükkszentkereszt;3557
Bükkszentmárton;3346
Bükkszék;3335
Bükkzsérc;3414
Bükkábrány;3422
Bükkösd;7682
Bürüs;7973
Büssü;7273
Büttös;3821
Bő;9625
Bőcs;3574
Bőny;9073
Bőszénfa;7475
Bősárkány;9167
Cakóháza;9165
Cece;7013
Cegléd;2700
Cegléd;2738
Ceglédbercel;2737
Celldömölk;9500
Celldömölk;9541
Cered;3123
Chernelházadamonya;9624
Cibakháza;5462
Cigánd;3973
Cikó;7161
Cirák;9364
Csabacsűd;5551
Csabaszabadi;5609
Csabdi;2064
Csabrendek;8474
Csaholc;4967
Csajág;8163
Csanytelek;6647
Csanádalberti;6915
Csanádapáca;5662
Csanádpalota;6913
Csapi;8756
Csapod;9372
Csarnóta;7811
Csaroda;4844
Csataszög;5064
Csatka;2888
Csatár;8943
Csebény;7935
Csegöld;4742
Csehbánya;8445
Csehi;9833
Csehimindszent;9834
Csempeszkopács;9764
Csemő;2713
Csengele;6765
Csenger;4765
Csengersima;4743
Csengerújfalu;4764
Csengőd;6222
Csenyéte;3837
Csepreg;9735
Cserdi;7683
Cserháthaláp;2694
Cserhátsurány;2676
Cserhátszentiván;3066
Cserkeszőlő;5465
Cserkút;7673
Csernely;3648
Cserszegtomaj;8372
Csertalakos;8951
Csertő;7900
Cserénfa;7472
Cserépfalu;3413
Cserépváralja;3417
Csesznek;8419
Csesztreg;8973
Csesztve;2678
Csetény;8417
Csibrák;7225
Csikvánd;9127
Csikéria;6424
Csikóstőttős;7341
Csincse;3442
Csipkerek;9836
Csitár;2673
Csobaj;3927
Csobád;3848
Csobánka;2014
Csokonyavisonta;7555
Csokvaomány;3647
Csolnok;2521
Csoma;7253
Csombárd;7432
Csomád;2161
Csongrád;6640
Csongrád;6648
Csonkahegyhát;8918
Csonkamindszent;7940
Csopak;8229
Csorna;9168
Csorna;9300
Csorvás;5920
Csurgó;8840
Csurgónagymarton;8840
Csáfordjánosfa;9375
Csákberény;8073
Csákvár;8083
Csákány;8735
Csákánydoroszló;9919
Csánig;9654
Csány;3015
Csányoszró;7964
Csárdaszállás;5621
Császló;4973
Császár;2858
Császártöltés;6239
Csátalja;6523
Csávoly;6448
Csécse;3052
Csém;2949
Csénye;9611
Csép;2946
Csépa;5475
Csér;9375
Csévharaszt;2212
Csókakő;8074
Csólyospálos;6135
Csór;8041
Csót;8558
Csöde;8999
Csögle;8495
Csökmő;4145
Csököly;7526
Csömend;8700
Csömödér;8957
Csömör;2141
Csönge;9513
Csörnyeföld;8873
Csörög;2135
Csörötnek;9962
Csősz;8122
Csővár;2615
Cák;9725
Cégénydányád;4732
Cún;7843
Dabas;2370
Dabas;2371
Dabas;2373
Dabronc;8345
Dabrony;8485
Dad;2854
Dalmand;7211
Damak;3780
Daraboshegy;9917
Darnó;4737
Darnózseli;9232
Daruszentmiklós;2423
Darvas;4144
Darány;7988
Debercsény;2694
Debrecen;4000
Debrecen;4002
Debrecen;4024
Debrecen;4025
Debrecen;4026
Debrecen;4027
Debrecen;4028
Debrecen;4029
Debrecen;4030
Debrecen;4031
Debrecen;4032
Debrecen;4033
Debrecen;4034
Debrecen;4042
Debrecen;4063
Debrecen;4078
Debrecen;4079
Debrecen;4225
Debréte;3825
Decs;7144
Dejtár;2649
Demecser;4516
Demjén;3395
Dencsháza;7915
Derecske;4130
Derekegyház;6621
Deszk;6772
Detek;3834
Detk;3275
Devecser;8460
Dinnyeberki;7683
Diósberény;7072
Diósd;2049
Diósjenő;2643
Dióskál;8764
Diósviszló;7817
Doba;8482
Doboz;5624
Dobri;8874
Dobronhegy;8989
Domaháza;3627
Domaszék;6781
Dombegyház;5836
Dombiratos;5745
Dombrád;4492
Dombóvár;7200
Domony;2182
Domoszló;3263
Dormánd;3374
Dorog;2510
Dorogháza;3153
Dozmat;9791
Drágszél;6342
Drávacsehi;7849
Drávacsepely;7846
Drávafok;7967
Drávagárdony;7977
Drávaiványi;7960
Drávakeresztúr;7967
Drávapalkonya;7850
Drávapiski;7843
Drávaszabolcs;7851
Drávaszerdahely;7847
Drávasztára;7960
Drávatamási;7979
Drégelypalánk;2646
Dubicsány;3635
Dudar;8416
Duka;9556
Dunaalmás;2545
Dunabogdány;2023
Dunaegyháza;6323
Dunafalva;6513
Dunaföldvár;7020
Dunaharaszti;2330
Dunakeszi;2120
Dunakiliti;9225
Dunapataj;6328
Dunaremete;9235
Dunaszeg;9174
Dunaszekcső;7712
Dunaszentbenedek;6333
Dunaszentgyörgy;7135
Dunaszentmiklós;2897
Dunaszentpál;9175
Dunasziget;9226
Dunatetétlen;6325
Dunavarsány;2336
Dunavecse;6087
Dunaújváros;2400
Dunaújváros;2407
Dusnok;6353
Dág;2522
Dáka;8592
Dámóc;3978
Dánszentmiklós;2735
Dány;2118
Dávod;6524
Dédestapolcsány;3643
Dég;8135
Délegyháza;2337
Dénesfa;9365
Dévaványa;5510
Dóc;6766
Döbröce;8357
Döbrököz;7228
Döbrönte;8597
Döbörhegy;9914
Döge;4495
Dömsöd;2344
Dömös;2027
Dör;9147
Dörgicse;8244
Döröske;9913
Dötk;8799
Dövény;3721
Dúzs;7224
Ebergőc;9451
Ebes;4211
Ecseg;3053
Ecsegfalva;5515
Ecseny;7457
Ecser;2233
Ecséd;3013
Edde;7443
Edelény;3780
Edelény;3783
Edve;9343
Eger;3300
Egeralja;8497
Egeraracsa;8765
Egerbakta;3321
Egerbocs;3337
Egercsehi;3341
Egerfarmos;3379
Egerlövő;3461
Egerszalók;3394
Egerszólát;3328
Egervár;8913
Egervölgy;9684
Egerág;7763
Egyed;9314
Egyek;4067
Egyek;4069
Egyházasdengeleg;3043
Egyházasfalu;9473
Egyházasgerge;3185
Egyházasharaszti;7824
Egyházashetye;9554
Egyházashollós;9781
Egyházaskesző;8523
Egyházaskozár;7347
Egyházasrádóc;9783
Elek;5742
Ellend;7744
Előszállás;2424
Emőd;3432
Encs;3860
Encsencs;4374
Endrefalva;3165
Endrőc;7973
Enese;9143
Enying;8130
Enying;8131
Eperjes;6624
Eperjeske;4646
Eplény;8413
Epöl;2526
Ercsi;2451
Ercsi;2453
Erdőbénye;3932
Erdőhorváti;3935
Erdőkertes;2113
Erdőkövesd;3252
Erdőkürt;2176
Erdősmecske;7723
Erdősmárok;7735
Erdőtarcsa;2177
Erdőtelek;3358
Erk;3295
Erzsébet;7661
Eszteregnye;8882
Esztergom;2500
Esztergom;2508
Esztergom;2509
Esztergályhorváti;8742
Esztár;4124
Ete;2947
Etes;3136
Etyek;2091
Fadd;7133
Fajsz;6352
Fancsal;3855
Farkasgyepű;8582
Farkaslyuk;3608
Farmos;2765
Farád;9321
Fazekasboda;7732
Fedémes;3255
Fegyvernek;5213
Fegyvernek;5231
Fehérgyarmat;4900
Fehértó;9163
Fehérvárcsurgó;8052
Feked;7724
Feketeerdő;9211
Felcsút;8086
Feldebrő;3352
Felgyő;6645
Felpéc;9122
Felsőberecki;3985
Felsőcsatár;9794
Felsődobsza;3847
Felsőegerszeg;7370
Felsőgagy;3837
Felsőjánosfa;9934
Felsőkelecsény;3722
Felsőlajos;6055
Felsőmarác;9918
Felsőmocsolád;7456
Felsőnyárád;3721
Felsőnyék;7099
Felsőnána;7175
Felsőpakony;2363
Felsőpetény;2611
Felsőpáhok;8395
Felsőrajk;8767
Felsőregmec;3989
Felsőszenterzsébet;8973
Felsőszentiván;6447
Felsőszentmárton;7968
Felsőszölnök;9985
Felsőtelekes;3735
Felsőtold;3067
Felsőtárkány;3324
Felsővadász;3814
Felsőzsolca;3561
Felsőörs;8227
Fenyőfő;8432
Ferencszállás;6774
Fertőboz;9493
Fertőd;9431
Fertőd;9433
Fertőendréd;9442
Fertőhomok;9492
Fertőrákos;9421
Fertőszentmiklós;9444
Fertőszéplak;9436
Fiad;7282
Filkeháza;3994
Fityeház;8835
Foktő;6331
Folyás;4095
Fony;3893
Fonyód;8640
Fonó;7271
Forráskút;6793
Forró;3849
Fulókércs;3864
Furta;4141
Fábiánháza;4354
Fábiánsebestyén;6625
Fácánkert;7136
Fáj;3865
Fényeslitke;4621
Fót;2151
Földes;4177
Földeák;6922
Füle;8157
Fülesd;4964
Fülpösdaróc;4754
Fülöp;4266
Fülöpháza;6042
Fülöpjakab;6116
Fülöpszállás;6085
Fürged;7087
Füzesabony;3390
Füzesgyarmat;5525
Füzér;3996
Füzérkajata;3994
Füzérkomlós;3997
Füzérradvány;3993
Főnyed;8732
Fűzvölgy;8777
Gacsály;4972
Gadna;3815
Gadács;7276
Gadány;8715
Gagyapáti;3837
Gagybátor;3817
Gagyvendégi;3816
Galambok;8754
Galgaguta;2686
Galgagyörk;2681
Galgahévíz;2193
Galgamácsa;2183
Galvács;3752
Gamás;8685
Ganna;8597
Gara;6522
Garabonc;8747
Garadna;3873
Garbolc;4976
Garáb;3067
Garé;7812
Gasztony;9952
Gecse;8543
Gelej;3444
Gellénháza;8981
Gelse;8774
Gelsesziget;8774
Gelénes;4935
Gemzse;4567
Gencsapáti;9721
Gerde;7951
Gerendás;5925
Geresdlak;7733
Gerjen;7134
Gersekarát;9813
Gerényes;7362
Geszt;5734
Gesztely;3715
Gesztely;3923
Geszteréd;4232
Gibárt;3854
Gic;8435
Gige;7527
Gilvánfa;7954
Girincs;3578
Golop;3906
Gomba;2217
Gombosszeg;8984
Gordisa;7853
Gosztola;8960
Grábóc;7162
Gulács;4842
Gutorfölde;8951
Gyalóka;9474
Gyanógeregye;9774
Gyarmat;9126
Gyenesdiás;8315
Gyepükaján;8473
Gyermely;2821
Gyomaendrőd;5500
Gyomaendrőd;5502
Gyugy;8692
Gyula;5700
Gyula;5711
Gyulaháza;4545
Gyulaj;7227
Gyulakeszi;8286
Gyál;2360
Gyékényes;8851
Gyód;7668
Gyóró;9363
Gyömrő;2230
Gyömöre;9124
Gyöngyfa;7954
Gyöngyös;3200
Gyöngyös;3221
Gyöngyös;3232
Gyöngyös;3233
Gyöngyösfalu;9723
Gyöngyöshalász;3212
Gyöngyösmellék;7972
Gyöngyösoroszi;3211
Gyöngyöspata;3035
Gyöngyössolymos;3231
Gyöngyöstarján;3036
Gyönk;7064
Györe;7352
Györgytarló;3954
Györköny;7045
Gyúró;2464
Gyügye;4733
Gyüre;4813
Győr;9000
Győr;9011
Győr;9012
Győr;9019
Győr;9021
Győr;9022
Győr;9023
Győr;9024
Győr;9025
Győr;9026
Győr;9027
Győr;9028
Győr;9029
Győr;9030
Győrasszonyfa;9093
Győrladamér;9173
Győrszemere;9121
Győrság;9084
Győrsövényház;9161
Győrtelek;4752
Győrvár;9821
Győrzámoly;9172
Győröcske;4625
Győrújbarát;9081
Győrújfalu;9171
Gyűrűs;8932
Gáborján;4122
Gáborjánháza;8969
Gádoros;5932
Gálosfa;7473
Gánt;8082
Gárdony;2483
Gárdony;2484
Gárdony;2485
Gátér;6111
Gávavencsellő;4471
Gávavencsellő;4472
Géberjén;4754
Géderlak;6334
Gégény;4517
Gérce;9672
Gétye;8762
Gógánfa;8346
Gór;9625
Göd;2131
Göd;2132
Gödre;7385
Gödre;7386
Gödöllő;2100
Gölle;7272
Gömörszőlős;3728
Gönc;3895
Göncruszka;3894
Gönyű;9071
Görbeháza;4075
Görcsöny;7833
Görcsönydoboka;7728
Görgeteg;7553
Gősfa;8913
Hagyárosbörönd;8992
Hahót;8771
Hajdúbagos;4273
Hajdúböszörmény;4074
Hajdúböszörmény;4086
Hajdúböszörmény;4220
Hajdúböszörmény;4224
Hajdúdorog;4087
Hajdúhadház;4242
Hajdúnánás;4080
Hajdúnánás;4085
Hajdúszoboszló;4200
Hajdúszovát;4212
Hajdúsámson;4251
Hajmás;7473
Hajmáskér;8192
Hajós;6344
Halastó;9814
Halimba;8452
Halmaj;3842
Halmajugra;3273
Halogy;9917
Halászi;9228
Halásztelek;2314
Hangony;3626
Hangács;3795
Hantos;2434
Harasztifalu;9784
Harc;7172
Harka;9422
Harkakötöny;6136
Harkány;7815
Harsány;3555
Harta;6326
Harta;6327
Hatvan;3000
Hedrehely;7533
Hegyesd;8296
Hegyeshalom;9222
Hegyfalu;9631
Hegyháthodász;9915
Hegyhátmaróc;7348
Hegyhátszentjakab;9934
Hegyhátszentmárton;9931
Hegyhátszentpéter;9821
Hegyhátsál;9915
Hegykő;9437
Hegymagas;8265
Hegymeg;3786
Hegyszentmárton;7837
Hejce;3892
Hejőbába;3593
Hejőkeresztúr;3597
Hejőkürt;3588
Hejőpapi;3594
Hejőszalonta;3595
Helesfa;7683
Helvécia;6034
Hencida;4123
Hencse;7532
Herceghalom;2053
Hercegkút;3958
Hercegszántó;6525
Herencsény;2677
Herend;8440
Heresznye;7587
Hermánszeg;4735
Hernyék;8957
Hernád;2376
Hernádbűd;3853
Hernádcéce;3887
Hernádkak;3563
Hernádkércs;3846
Hernádnémeti;3564
Hernádpetri;3874
Hernádszentandrás;3852
Hernádszurdok;3875
Hernádvécse;3874
Heréd;3011
Hetefejércse;4843
Hetes;7432
Hetvehely;7681
Hetyefő;8344
Heves;3360
Hevesaranyos;3322
Hevesvezekény;3383
Hidas;7696
Hidasnémeti;3876
Hidegkút;8247
Hidegség;9491
Hidvégardó;3768
Himesháza;7735
Himod;9362
Hirics;7838
Hobol;7971
Hodász;4334
Hollád;8731
Hollóháza;3999
Hollókő;3176
Homokbödöge;8563
Homokkomárom;8777
Homokmégy;6341
Homokszentgyörgy;7537
Homorúd;7716
Homrogd;3812
Hont;2647
Horpács;2658
Hort;3014
Hortobágy;4071
Horváthertelend;7935
Horvátlövő;9796
Horvátzsidány;9733
Hosszúhetény;7694
Hosszúpereszteg;9676
Hosszúpályi;4274
Hosszúvíz;8716
Hosszúvölgy;8777
Hosztót;8475
Hottó;8991
Hugyag;2672
Hunya;5555
Hunyadfalva;5063
Husztót;7678
Hács;8694
Háromfa;7585
Háromhuta;3936
Hárskút;8442
Hásságy;7745
Hédervár;9178
Héhalom;3041
Héreg;2832
Hét;3655
Hévíz;8380
Hévízgyörk;2192
Hódmezővásárhely;6800
Hódmezővásárhely;6805
Hódmezővásárhely;6806
Hövej;9361
Hőgyész;7191
Ibafa;7935
Iborfia;8984
Ibrány;4484
Igal;7275
Igar;7015
Igar;7016
Igrici;3459
Iharos;8726
Iharosberény;8725
Ikervár;9756
Iklad;2181
Iklanberény;9634
Iklódbördőce;8958
Ikrény;9141
Iliny;2674
Ilk;4566
Illocska;7775
Imola;3725
Imrehegy;6238
Inke;8724
Ináncs;3851
Inárcs;2365
Ipacsfa;7847
Ipolydamásd;2631
Ipolyszög;2660
Ipolytarnóc;3138
Ipolytölgyes;2633
Ipolyvece;2669
Iregszemcse;7095
Irota;3786
Isaszeg;2117
Ispánk;9941
Istenmezeje;3253
Istvándi;7987
Iszkaszentgyörgy;8043
Iszkáz;8493
Isztimér;8045
Ivád;3248
Iván;9374
Ivánbattyán;7772
Ivánc;9931
Iváncsa;2454
Ivándárda;7781
Izmény;7353
Izsák;6070
Izsófalva;3741
Jakabszállás;6078
Jenő;8146
Jobaháza;9323
Jobbágyi;3063
Juta;7431
Jágónak;7357
Ják;9798
Jákfa;9643
Jákfalva;3721
Jákó;7525
Jánd;4841
Jánkmajtis;4741
Jánoshalma;6440
Jánoshida;5143
Jánosháza;9545
Jánossomorja;9167
Jánossomorja;9241
Jánossomorja;9241
Jánossomorja;9242
Járdánháza;3664
Jármi;4337
Jásd;8424
Jászalsószentgyörgy;5054
